"m","mname","bdate","sexo","f"
"http://dbpedia.org/resource/Frédéric_Devreese","Frédéric Devreese","1929-6-2","male","http://dbpedia.org/resource/Belle_(1973_film)"
"http://dbpedia.org/resource/Georges_Van_Parys","Georges Van Parys","1902-6-7","male","http://dbpedia.org/resource/Les_Diaboliques_(film)"
"http://dbpedia.org/resource/Gonzalo_Curiel_(composer)","Gonzalo Curiel",1904-01-10,"male","http://dbpedia.org/resource/I_Am_a_Fugitive"
"http://dbpedia.org/resource/Gonzalo_Curiel_(composer)","Gonzalo Curiel","1904-1-10","male","http://dbpedia.org/resource/I_Am_a_Fugitive"
"http://dbpedia.org/resource/Gonzalo_Curiel_(composer)","Gonzalo Curiel Barba",1904-01-10,"male","http://dbpedia.org/resource/I_Am_a_Fugitive"
"http://dbpedia.org/resource/Gonzalo_Curiel_(composer)","Gonzalo Curiel Barba","1904-1-10","male","http://dbpedia.org/resource/I_Am_a_Fugitive"
"http://dbpedia.org/resource/Walter_Greene","Walter Greene",1910-01-23,"male","http://dbpedia.org/resource/The_Louisiana_Hussy"
"http://dbpedia.org/resource/Walter_Greene","Walter Greene","1910-1-23","male","http://dbpedia.org/resource/The_Louisiana_Hussy"
"http://dbpedia.org/resource/Victor_Young","Victor Young",1900-08-08,"male","http://dbpedia.org/resource/Kitty_(1945_film)"
"http://dbpedia.org/resource/Victor_Young","Victor Young","1900-8-8","male","http://dbpedia.org/resource/Kitty_(1945_film)"
"http://dbpedia.org/resource/Frankie_Chan","Frankie Chan",1951-11-30,"male","http://dbpedia.org/resource/Five_Deadly_Venoms"
"http://dbpedia.org/resource/Frankie_Chan","Chén Xūnqí",1951-11-30,"male","http://dbpedia.org/resource/Five_Deadly_Venoms"
"http://dbpedia.org/resource/Frankie_Chan","can4 fan1 kei4",1951-11-30,"male","http://dbpedia.org/resource/Five_Deadly_Venoms"
"http://dbpedia.org/resource/Frankie_Chan","陈勋奇",1951-11-30,"male","http://dbpedia.org/resource/Five_Deadly_Venoms"
"http://dbpedia.org/resource/Frankie_Chan","陳勳奇",1951-11-30,"male","http://dbpedia.org/resource/Five_Deadly_Venoms"
"http://dbpedia.org/resource/Gao_Xiaosong","Gao Xiaosong",1969-11-14,"male","http://dbpedia.org/resource/Rainbow_(2005_film)"
"http://dbpedia.org/resource/Gao_Xiaosong","Gao Xiaosong (高晓松)",1969-11-14,"male","http://dbpedia.org/resource/Rainbow_(2005_film)"
"http://dbpedia.org/resource/Reginald_Hazeltine_Bassett","Reginald Hazeltine Bassett","1878-9-3","male","http://dbpedia.org/resource/Dante's_Inferno_(1935_film)"
"http://dbpedia.org/resource/Shirley_Walker","Shirley Walker",1945-04-10,"female","http://dbpedia.org/resource/Batman:_Mask_of_the_Phantasm"
