"a","aname","bdate","sexo","f"
"http://dbpedia.org/resource/Nicole_Kidman","Nicole Kidman",1967-06-20,"female","http://dbpedia.org/resource/Trespass_(2011_film)"
"http://dbpedia.org/resource/Nicole_Kidman","Nicole Kidman","1967-6-20","female","http://dbpedia.org/resource/Trespass_(2011_film)"
"http://dbpedia.org/resource/Robin_Wright","Robin Wright",1966-04-08,"female","http://dbpedia.org/resource/Toys_(film)"
"http://dbpedia.org/resource/Robin_Wright","Robin Wright","1966-4-8","female","http://dbpedia.org/resource/Toys_(film)"
"http://dbpedia.org/resource/Amanda_Peet","Amanda Peet",1972-01-11,"female","http://dbpedia.org/resource/The_X-Files:_I_Want_to_Believe"
"http://dbpedia.org/resource/Amanda_Peet","Amanda Peet","1972-1-11","female","http://dbpedia.org/resource/The_X-Files:_I_Want_to_Believe"
"http://dbpedia.org/resource/Barry_Newman","Barry Newman",1938-11-07,"male","http://dbpedia.org/resource/Vanishing_Point_(1971_film)"
"http://dbpedia.org/resource/Barry_Newman","Barry Newman","1938-11-7","male","http://dbpedia.org/resource/Vanishing_Point_(1971_film)"
"http://dbpedia.org/resource/Damien_Crosse","Damien Crosse",1982-02-11,"male","http://dbpedia.org/resource/To_the_Last_Man_(2008_film)"
"http://dbpedia.org/resource/Damien_Crosse","Damien Crosse","1982-2-11","male","http://dbpedia.org/resource/To_the_Last_Man_(2008_film)"
"http://dbpedia.org/resource/Elizabeth_McGovern","Elizabeth McGovern",1961-07-18,"female","http://dbpedia.org/resource/Unexpected_(2015_film)"
"http://dbpedia.org/resource/Elizabeth_McGovern","Elizabeth McGovern","1961-7-18","female","http://dbpedia.org/resource/Unexpected_(2015_film)"
"http://dbpedia.org/resource/Gene_Tierney","Gene Tierney",1920-11-19,"female","http://dbpedia.org/resource/Toys_in_the_Attic_(1963_film)"
"http://dbpedia.org/resource/Jason_David_Frank","Jason David Frank",1973-09-04,"male","http://dbpedia.org/resource/Turbo:_A_Power_Rangers_Movie"
"http://dbpedia.org/resource/Jason_David_Frank","Jason David Frank","1973-9-4","male","http://dbpedia.org/resource/Turbo:_A_Power_Rangers_Movie"
