"f","fname","dir","music","writer","country","lang"
"http://dbpedia.org/resource/Grand_Hotel_(1932_film)","Grand Hotel","http://dbpedia.org/resource/Edmund_Goulding","http://dbpedia.org/resource/William_Axt","http://dbpedia.org/resource/William_A._Drake","United States","English"
"http://dbpedia.org/resource/Grand_Hotel_(1932_film)","Grand Hotel","http://dbpedia.org/resource/Edmund_Goulding","http://dbpedia.org/resource/Charles_Maxwell","http://dbpedia.org/resource/William_A._Drake","United States","English"
"http://dbpedia.org/resource/Heat_(1995_film)","Heat","http://dbpedia.org/resource/Michael_Mann_(director)","http://dbpedia.org/resource/Elliot_Goldenthal","http://dbpedia.org/resource/Michael_Mann_(director)","United States","English"
"http://dbpedia.org/resource/In_the_Bedroom","In the Bedroom","http://dbpedia.org/resource/Todd_Field","http://dbpedia.org/resource/Thomas_Newman","http://dbpedia.org/resource/Todd_Field","United States","English"
"http://dbpedia.org/resource/Independence_Day_(1996_film)","Independence Day","http://dbpedia.org/resource/Roland_Emmerich","http://dbpedia.org/resource/David_Arnold","http://dbpedia.org/resource/Roland_Emmerich","United States","English"
"http://dbpedia.org/resource/Independence_Day_(1996_film)","Independence Day","http://dbpedia.org/resource/Roland_Emmerich","http://dbpedia.org/resource/David_Arnold","http://dbpedia.org/resource/Dean_Devlin","United States","English"
"http://dbpedia.org/resource/Indiana_Jones_and_the_Last_Crusade","Indiana Jones and the Last Crusade","http://dbpedia.org/resource/Steven_Spielberg","http://dbpedia.org/resource/John_Williams","http://dbpedia.org/resource/Jeffrey_Boam","United States","English"
"http://dbpedia.org/resource/It_Happened_One_Night","It Happened One Night","http://dbpedia.org/resource/Frank_Capra","http://dbpedia.org/resource/Louis_Silvers","http://dbpedia.org/resource/Robert_Riskin","United States","English"
"http://dbpedia.org/resource/It_Happened_One_Night","It Happened One Night","http://dbpedia.org/resource/Frank_Capra","http://dbpedia.org/resource/Howard_Jackson_(composer)","http://dbpedia.org/resource/Robert_Riskin","United States","English"
"http://dbpedia.org/resource/Lara_Croft:_Tomb_Raider","Lara Croft: Tomb Raider","http://dbpedia.org/resource/Simon_West","http://dbpedia.org/resource/Graeme_Revell","http://dbpedia.org/resource/Patrick_Massett","Germany","English"
"http://dbpedia.org/resource/Lara_Croft:_Tomb_Raider","Lara Croft: Tomb Raider","http://dbpedia.org/resource/Simon_West","http://dbpedia.org/resource/Graeme_Revell","http://dbpedia.org/resource/John_Zinman","Germany","English"
"http://dbpedia.org/resource/Lara_Croft:_Tomb_Raider","Lara Croft: Tomb Raider","http://dbpedia.org/resource/Simon_West","http://dbpedia.org/resource/Graeme_Revell","http://dbpedia.org/resource/Patrick_Massett","Japan","English"
"http://dbpedia.org/resource/Lara_Croft:_Tomb_Raider","Lara Croft: Tomb Raider","http://dbpedia.org/resource/Simon_West","http://dbpedia.org/resource/Graeme_Revell","http://dbpedia.org/resource/John_Zinman","Japan","English"
"http://dbpedia.org/resource/Lara_Croft:_Tomb_Raider","Lara Croft: Tomb Raider","http://dbpedia.org/resource/Simon_West","http://dbpedia.org/resource/Graeme_Revell","http://dbpedia.org/resource/Patrick_Massett","United Kingdom","English"
"http://dbpedia.org/resource/Lara_Croft:_Tomb_Raider","Lara Croft: Tomb Raider","http://dbpedia.org/resource/Simon_West","http://dbpedia.org/resource/Graeme_Revell","http://dbpedia.org/resource/John_Zinman","United Kingdom","English"
"http://dbpedia.org/resource/Lara_Croft:_Tomb_Raider","Lara Croft: Tomb Raider","http://dbpedia.org/resource/Simon_West","http://dbpedia.org/resource/Graeme_Revell","http://dbpedia.org/resource/Patrick_Massett","United States","English"
"http://dbpedia.org/resource/Lara_Croft:_Tomb_Raider","Lara Croft: Tomb Raider","http://dbpedia.org/resource/Simon_West","http://dbpedia.org/resource/Graeme_Revell","http://dbpedia.org/resource/John_Zinman","United States","English"
"http://dbpedia.org/resource/Léon:_The_Professional","Léon: The Professional","http://dbpedia.org/resource/Luc_Besson","http://dbpedia.org/resource/Éric_Serra","http://dbpedia.org/resource/Luc_Besson","France","English"
"http://dbpedia.org/resource/Mars_Needs_Women","Mars Needs Women","http://dbpedia.org/resource/Larry_Buchanan","http://dbpedia.org/resource/Ronald_Stein","http://dbpedia.org/resource/Larry_Buchanan","United States","English"
"http://dbpedia.org/resource/Midnight_Cowboy","Midnight Cowboy","http://dbpedia.org/resource/John_Schlesinger","http://dbpedia.org/resource/John_Barry_(composer)","http://dbpedia.org/resource/Waldo_Salt","United States","English"
"http://dbpedia.org/resource/Mulan_(1998_film)","Mulan","http://dbpedia.org/resource/Barry_Cook","http://dbpedia.org/resource/Jerry_Goldsmith","http://dbpedia.org/resource/Philip_LaZebnik","United States","English"
"http://dbpedia.org/resource/Mulan_(1998_film)","Mulan","http://dbpedia.org/resource/Barry_Cook","http://dbpedia.org/resource/Jerry_Goldsmith","http://dbpedia.org/resource/Chris_Sanders_(director)","United States","English"
"http://dbpedia.org/resource/Mulan_(1998_film)","Mulan","http://dbpedia.org/resource/Tony_Bancroft","http://dbpedia.org/resource/Jerry_Goldsmith","http://dbpedia.org/resource/Philip_LaZebnik","United States","English"
"http://dbpedia.org/resource/Mulan_(1998_film)","Mulan","http://dbpedia.org/resource/Tony_Bancroft","http://dbpedia.org/resource/Jerry_Goldsmith","http://dbpedia.org/resource/Chris_Sanders_(director)","United States","English"
"http://dbpedia.org/resource/Mulan_(1998_film)","Mulan","http://dbpedia.org/resource/Barry_Cook","http://dbpedia.org/resource/Matthew_Wilder","http://dbpedia.org/resource/Philip_LaZebnik","United States","English"
"http://dbpedia.org/resource/Mulan_(1998_film)","Mulan","http://dbpedia.org/resource/Barry_Cook","http://dbpedia.org/resource/Matthew_Wilder","http://dbpedia.org/resource/Chris_Sanders_(director)","United States","English"
"http://dbpedia.org/resource/Mulan_(1998_film)","Mulan","http://dbpedia.org/resource/Tony_Bancroft","http://dbpedia.org/resource/Matthew_Wilder","http://dbpedia.org/resource/Philip_LaZebnik","United States","English"
"http://dbpedia.org/resource/Mulan_(1998_film)","Mulan","http://dbpedia.org/resource/Tony_Bancroft","http://dbpedia.org/resource/Matthew_Wilder","http://dbpedia.org/resource/Chris_Sanders_(director)","United States","English"
"http://dbpedia.org/resource/Night_of_the_Living_Dead","Night of the Living Dead","http://dbpedia.org/resource/George_A._Romero","http://dbpedia.org/resource/William_Loose","http://dbpedia.org/resource/John_A._Russo","United States","English"
"http://dbpedia.org/resource/Night_of_the_Living_Dead","Night of the Living Dead","http://dbpedia.org/resource/George_A._Romero","http://dbpedia.org/resource/Fred_Steiner","http://dbpedia.org/resource/John_A._Russo","United States","English"
"http://dbpedia.org/resource/Raiders_of_the_Lost_Ark","Raiders of the Lost Ark","http://dbpedia.org/resource/Steven_Spielberg","http://dbpedia.org/resource/John_Williams","http://dbpedia.org/resource/Lawrence_Kasdan","United States","English"
"http://dbpedia.org/resource/Reds_(film)","Reds","http://dbpedia.org/resource/Warren_Beatty","http://dbpedia.org/resource/Stephen_Sondheim","http://dbpedia.org/resource/Trevor_Griffiths","United States","English"
"http://dbpedia.org/resource/Reds_(film)","Reds","http://dbpedia.org/resource/Warren_Beatty","http://dbpedia.org/resource/Stephen_Sondheim","http://dbpedia.org/resource/Warren_Beatty","United States","English"
"http://dbpedia.org/resource/Reds_(film)","Reds","http://dbpedia.org/resource/Warren_Beatty","http://dbpedia.org/resource/Stephen_Sondheim","http://dbpedia.org/resource/Trevor_Griffiths","United States","German"
"http://dbpedia.org/resource/Reds_(film)","Reds","http://dbpedia.org/resource/Warren_Beatty","http://dbpedia.org/resource/Stephen_Sondheim","http://dbpedia.org/resource/Warren_Beatty","United States","German"
"http://dbpedia.org/resource/Reds_(film)","Reds","http://dbpedia.org/resource/Warren_Beatty","http://dbpedia.org/resource/Stephen_Sondheim","http://dbpedia.org/resource/Trevor_Griffiths","United States","Russian"
"http://dbpedia.org/resource/Reds_(film)","Reds","http://dbpedia.org/resource/Warren_Beatty","http://dbpedia.org/resource/Stephen_Sondheim","http://dbpedia.org/resource/Warren_Beatty","United States","Russian"
"http://dbpedia.org/resource/Reds_(film)","Reds","http://dbpedia.org/resource/Warren_Beatty","http://dbpedia.org/resource/Dave_Grusin","http://dbpedia.org/resource/Trevor_Griffiths","United States","English"
"http://dbpedia.org/resource/Reds_(film)","Reds","http://dbpedia.org/resource/Warren_Beatty","http://dbpedia.org/resource/Dave_Grusin","http://dbpedia.org/resource/Warren_Beatty","United States","English"
"http://dbpedia.org/resource/Reds_(film)","Reds","http://dbpedia.org/resource/Warren_Beatty","http://dbpedia.org/resource/Dave_Grusin","http://dbpedia.org/resource/Trevor_Griffiths","United States","German"
"http://dbpedia.org/resource/Reds_(film)","Reds","http://dbpedia.org/resource/Warren_Beatty","http://dbpedia.org/resource/Dave_Grusin","http://dbpedia.org/resource/Warren_Beatty","United States","German"
"http://dbpedia.org/resource/Reds_(film)","Reds","http://dbpedia.org/resource/Warren_Beatty","http://dbpedia.org/resource/Dave_Grusin","http://dbpedia.org/resource/Trevor_Griffiths","United States","Russian"
"http://dbpedia.org/resource/Reds_(film)","Reds","http://dbpedia.org/resource/Warren_Beatty","http://dbpedia.org/resource/Dave_Grusin","http://dbpedia.org/resource/Warren_Beatty","United States","Russian"
