"w","writer","bdate","sexo","f"
"http://dbpedia.org/resource/Adam_G._Simon","Adam G. Simon","1977-3-13","male","http://dbpedia.org/resource/Synapse_(film)"
"http://dbpedia.org/resource/Fatmir_Gjata","Fatmir Gjata",1922-09-22,"male","http://dbpedia.org/resource/Tana_(film)"
"http://dbpedia.org/resource/Fatmir_Gjata","Fatmir Gjata","1922-9-22","male","http://dbpedia.org/resource/Tana_(film)"
"http://dbpedia.org/resource/Marjorie_Gaffney","Marjorie Gaffney","1897-0-0","female","http://dbpedia.org/resource/The_Rat_(1937_film)"
"http://dbpedia.org/resource/Midi_Z","Midi Z",1982-12-18,"male","http://dbpedia.org/resource/The_Road_to_Mandalay_(2016_film)"
"http://dbpedia.org/resource/Midi_Z","Chao Te-Yin",1982-12-18,"male","http://dbpedia.org/resource/The_Road_to_Mandalay_(2016_film)"
"http://dbpedia.org/resource/Matthew_Vaughn","Matthew Vaughn",1971-03-07,"male","http://dbpedia.org/resource/The_Debt_(2010_film)"
"http://dbpedia.org/resource/Matthew_Vaughn","Matthew Vaughn","1971-3-7","male","http://dbpedia.org/resource/The_Debt_(2010_film)"
"http://dbpedia.org/resource/Melvin_Frank","Melvin Frank","1913-1-1","male","http://dbpedia.org/resource/The_Facts_of_Life_(film)"
"http://dbpedia.org/resource/Carol_Sobieski","Carol Sobieski",1939-03-16,"female","http://dbpedia.org/resource/The_Toy_(1982_film)"
"http://dbpedia.org/resource/Carol_Sobieski","Carol Sobieski","1939-3-16","female","http://dbpedia.org/resource/The_Toy_(1982_film)"
"http://dbpedia.org/resource/Jane_Goldman","Jane Goldman",1970-06-11,"female","http://dbpedia.org/resource/The_Debt_(2010_film)"
"http://dbpedia.org/resource/Jane_Goldman","Jane Goldman","1970-6-11","female","http://dbpedia.org/resource/The_Debt_(2010_film)"
"http://dbpedia.org/resource/Jane_Goldman","Jane Goldman",1970-06-11,"female","http://dbpedia.org/resource/The_Woman_in_Black_(2012_film)"
"http://dbpedia.org/resource/Jane_Goldman","Jane Goldman","1970-6-11","female","http://dbpedia.org/resource/The_Woman_in_Black_(2012_film)"
"http://dbpedia.org/resource/Jørgen_Leth","Jørgen Leth",1937-06-14,"male","http://dbpedia.org/resource/The_Five_Obstructions"
"http://dbpedia.org/resource/Jørgen_Leth","Jørgen Leth","1937-6-14","male","http://dbpedia.org/resource/The_Five_Obstructions"
"http://dbpedia.org/resource/Nick_Moran","Nick Moran",1969-12-23,"male","http://dbpedia.org/resource/The_Amazing_Grace"
"http://dbpedia.org/resource/Richard_Russo","Richard Russo",1949-07-15,"male","http://dbpedia.org/resource/Twilight_(1998_film)"
"http://dbpedia.org/resource/Richard_Russo","Richard Russo","1949-7-15","male","http://dbpedia.org/resource/Twilight_(1998_film)"
"http://dbpedia.org/resource/Yasushi_Inoue","Yasushi Inoue","1907-5-6","male","http://dbpedia.org/resource/The_Silk_Road_(film)"
"http://dbpedia.org/resource/Jonathan_Craven","Jonathan Craven",1965-03-20,"male","http://dbpedia.org/resource/The_Hills_Have_Eyes_2"
"http://dbpedia.org/resource/Jonathan_Craven","Jonathan Craven","1965-3-20","male","http://dbpedia.org/resource/The_Hills_Have_Eyes_2"
"http://dbpedia.org/resource/Monja_Danischewsky","Monja Danischewsky",1911-04-28,"male","http://dbpedia.org/resource/The_Galloping_Major_(film)"
"http://dbpedia.org/resource/Monja_Danischewsky","Monja Danischewsky","1911-4-28","male","http://dbpedia.org/resource/The_Galloping_Major_(film)"
"http://dbpedia.org/resource/Fabrizio_De_Angelis","Fabrizio De Angelis",1940-11-15,"male","http://dbpedia.org/resource/Thunder_Warrior"
"http://dbpedia.org/resource/Ashvin_Kumar","Ashvin Kumar","1974-1-1","male","http://dbpedia.org/resource/The_Forest_(2009_film)"
"http://dbpedia.org/resource/Douglas_Fairbanks","Douglas Fairbanks",1883-05-23,"male","http://dbpedia.org/resource/The_Gaucho"
"http://dbpedia.org/resource/Douglas_Fairbanks","Douglas Fairbanks","1883-5-23","male","http://dbpedia.org/resource/The_Gaucho"
"http://dbpedia.org/resource/Glenn_Berggoetz","Glenn Berggoetz","1966-1-1","male","http://dbpedia.org/resource/The_Worst_Movie_Ever!"
"http://dbpedia.org/resource/Ethel_M._Dell","Ethel M. Dell",1881-08-02,"female","http://dbpedia.org/resource/The_Eleventh_Hour_(1922_film)"
"http://dbpedia.org/resource/Ethel_M._Dell","Ethel M. Dell","1881-8-2","female","http://dbpedia.org/resource/The_Eleventh_Hour_(1922_film)"
"http://dbpedia.org/resource/Ethel_M._Dell","Ethel May Dell Savage",1881-08-02,"female","http://dbpedia.org/resource/The_Eleventh_Hour_(1922_film)"
"http://dbpedia.org/resource/Ethel_M._Dell","Ethel May Dell Savage","1881-8-2","female","http://dbpedia.org/resource/The_Eleventh_Hour_(1922_film)"
"http://dbpedia.org/resource/Irwin_Shaw","Irwin Shaw",1913-02-27,"male","http://dbpedia.org/resource/The_Big_Game_(1936_film)"
"http://dbpedia.org/resource/Irwin_Shaw","Irwin Shaw","1913-2-27","male","http://dbpedia.org/resource/The_Big_Game_(1936_film)"
"http://dbpedia.org/resource/Jesús_Franco","Jesús Franco",1930-05-12,"male","http://dbpedia.org/resource/Venus_in_Furs_(1969_Franco_film)"
"http://dbpedia.org/resource/Jesús_Franco","Jesús Franco","1930-5-12","male","http://dbpedia.org/resource/Venus_in_Furs_(1969_Franco_film)"
"http://dbpedia.org/resource/Kristian_Levring","Kristian Levring",1957-05-09,"male","http://dbpedia.org/resource/The_Salvation_(film)"
"http://dbpedia.org/resource/Kristian_Levring","Kristian Levring","1957-5-9","male","http://dbpedia.org/resource/The_Salvation_(film)"
"http://dbpedia.org/resource/Peter_Wintonick","Peter Wintonick","1953-0-0","male","http://dbpedia.org/resource/Seeing_Is_Believing:_Handicams,_Human_Rights_and_the_News"
"http://dbpedia.org/resource/Roger_Allers","Roger Allers","1949-1-1","male","http://dbpedia.org/resource/The_Prophet_(2014_film)"
"http://dbpedia.org/resource/Marguerite_Roberts","Marguerite Roberts",1905-09-21,"female","http://dbpedia.org/resource/Undercurrent_(1946_film)"
"http://dbpedia.org/resource/Marguerite_Roberts","Marguerite Roberts","1905-9-21","female","http://dbpedia.org/resource/Undercurrent_(1946_film)"
"http://dbpedia.org/resource/Rob_Hardy","Rob Hardy",1971-07-22,"male","http://dbpedia.org/resource/The_Gospel_(film)"
"http://dbpedia.org/resource/Rob_Hardy","Rob Hardy","1971-7-22","male","http://dbpedia.org/resource/The_Gospel_(film)"
"http://dbpedia.org/resource/Charles_B._Griffith","Charles B. Griffith",1930-09-23,"male","http://dbpedia.org/resource/The_Undead_(film)"
"http://dbpedia.org/resource/Charles_B._Griffith","Charles B. Griffith","1930-9-23","male","http://dbpedia.org/resource/The_Undead_(film)"
"http://dbpedia.org/resource/Dion_Boucicault","Dion Boucicault",1820-12-26,"male","http://dbpedia.org/resource/The_Streets_of_London_(1929_film)"
"http://dbpedia.org/resource/Emeric_Pressburger","Emeric Pressburger",1902-12-05,"male","http://dbpedia.org/resource/The_Great_Barrier_(film)"
"http://dbpedia.org/resource/Emeric_Pressburger","Emeric Pressburger","1902-12-5","male","http://dbpedia.org/resource/The_Great_Barrier_(film)"
"http://dbpedia.org/resource/Frank_Tashlin","Frank Tashlin",1913-02-19,"male","http://dbpedia.org/resource/Thicker_than_Water_(1935_film)"
"http://dbpedia.org/resource/Frank_Tashlin","Frank Tashlin","1913-2-19","male","http://dbpedia.org/resource/Thicker_than_Water_(1935_film)"
"http://dbpedia.org/resource/Jim_Thompson_(writer)","Jim Thompson",1906-09-27,"male","http://dbpedia.org/resource/The_Killing_(film)"
"http://dbpedia.org/resource/Jim_Thompson_(writer)","Jim Thompson","1906-9-27","male","http://dbpedia.org/resource/The_Killing_(film)"
"http://dbpedia.org/resource/Lillian_Hellman","Lillian Hellman",1905-06-20,"female","http://dbpedia.org/resource/The_Chase_(1966_film)"
"http://dbpedia.org/resource/Lillian_Hellman","Lillian Hellman","1905-6-20","female","http://dbpedia.org/resource/The_Chase_(1966_film)"
"http://dbpedia.org/resource/Miles_Malleson","Miles Malleson",1888-05-25,"male","http://dbpedia.org/resource/The_Rat_(1937_film)"
"http://dbpedia.org/resource/Miles_Malleson","Miles Malleson","1888-5-25","male","http://dbpedia.org/resource/The_Rat_(1937_film)"
"http://dbpedia.org/resource/Albert_Maltz","Albert Maltz",1908-10-28,"male","http://dbpedia.org/resource/The_Naked_City"
"http://dbpedia.org/resource/Brendan_Broderick","Brendan Broderick","1965-1-1","male","http://dbpedia.org/resource/Spectre_(1996_film)"
"http://dbpedia.org/resource/Carl_Mayer","Carl Mayer",1894-11-20,"male","http://dbpedia.org/resource/The_Blue_Light_(1932_film)"
"http://dbpedia.org/resource/Carl_Mayer","Carl Mayer",1894-11-20,"male","http://dbpedia.org/resource/The_Fourth_Estate_(film)"
"http://dbpedia.org/resource/Hugo_Claus","Hugo Claus",1929-04-05,"male","http://dbpedia.org/resource/The_Sacrament_(1989_film)"
"http://dbpedia.org/resource/Hugo_Claus","Hugo Claus","1929-4-5","male","http://dbpedia.org/resource/The_Sacrament_(1989_film)"
"http://dbpedia.org/resource/Joseph_Stefano","Joseph Stefano",1922-05-05,"male","http://dbpedia.org/resource/The_Kindred_(film)"
"http://dbpedia.org/resource/Joseph_Stefano","Joseph Stefano","1922-5-5","male","http://dbpedia.org/resource/The_Kindred_(film)"
"http://dbpedia.org/resource/Lucian_Pintilie","Lucian Pintilie",1933-11-09,"male","http://dbpedia.org/resource/Too_Late_(1996_film)"
"http://dbpedia.org/resource/Lucian_Pintilie","Lucian Pintilie","1933-11-9","male","http://dbpedia.org/resource/Too_Late_(1996_film)"
"http://dbpedia.org/resource/Peter_Sykes_(director)","Peter Sykes","1939-1-1","male","http://dbpedia.org/resource/The_Committee_(film)"
"http://dbpedia.org/resource/Rod_Lurie","Rod Lurie",1962-05-15,"male","http://dbpedia.org/resource/The_Contender_(2000_film)"
"http://dbpedia.org/resource/Rod_Lurie","Rod Lurie","1962-5-15","male","http://dbpedia.org/resource/The_Contender_(2000_film)"
"http://dbpedia.org/resource/Dwight_Taylor_(writer)","Dwight Taylor",1903-01-01,"male","http://dbpedia.org/resource/Something_to_Live_For_(film)"
"http://dbpedia.org/resource/Dwight_Taylor_(writer)","Dwight Taylor","1902-1-1","male","http://dbpedia.org/resource/Something_to_Live_For_(film)"
"http://dbpedia.org/resource/Dwight_Taylor_(writer)","Dwight Taylor",1903-01-01,"male","http://dbpedia.org/resource/Special_Delivery_(1955_film)"
"http://dbpedia.org/resource/Dwight_Taylor_(writer)","Dwight Taylor","1902-1-1","male","http://dbpedia.org/resource/Special_Delivery_(1955_film)"
"http://dbpedia.org/resource/Elliott_J._Clawson","Elliott J. Clawson",1883-01-19,"male","http://dbpedia.org/resource/The_Road_to_Mandalay_(1926_film)"
"http://dbpedia.org/resource/Elliott_J._Clawson","Elliott J. Clawson","1883-1-19","male","http://dbpedia.org/resource/The_Road_to_Mandalay_(1926_film)"
"http://dbpedia.org/resource/Francis_Veber","Francis Veber",1937-07-28,"male","http://dbpedia.org/resource/The_Toy_(1982_film)"
"http://dbpedia.org/resource/Francis_Veber","Francis Veber","1937-7-28","male","http://dbpedia.org/resource/The_Toy_(1982_film)"
"http://dbpedia.org/resource/George_Eastman_(actor)","George Eastman",1942-08-16,"male","http://dbpedia.org/resource/Stage_Fright_(1987_film)"
"http://dbpedia.org/resource/George_Eastman_(actor)","George Eastman","1942-8-16","male","http://dbpedia.org/resource/Stage_Fright_(1987_film)"
"http://dbpedia.org/resource/Jeb_Stuart_(writer)","Jeb Stuart",1956-01-21,"male","http://dbpedia.org/resource/Switchback_(film)"
"http://dbpedia.org/resource/Jeb_Stuart_(writer)","Jeb Stuart","1956-1-21","male","http://dbpedia.org/resource/Switchback_(film)"
"http://dbpedia.org/resource/Nick_Giannopoulos","Nick Giannopoulos",1963-07-01,"male","http://dbpedia.org/resource/The_Wannabes"
"http://dbpedia.org/resource/Nick_Giannopoulos","Nick Giannopoulos","1963-7-1","male","http://dbpedia.org/resource/The_Wannabes"
